channel,train_mean_real,train_mean_fake,effect_size_fake_minus_real,absolute_effect_size,overall_train_variance,rank_by_absolute_effect
856,-0.1358581,0.04140501,0.4277046666425893,0.4277046666425893,0.17304929,342
304,-0.35765523,-0.12701398,0.4274273703866483,0.4274273703866483,0.3065168,343
809,-0.3940796,0.051967315,0.4257781102920226,0.4257781102920226,1.1159105,344
873,0.046148594,0.18199478,0.42488705515427544,0.42488705515427544,0.104381986,345
497,-0.4159195,-0.68717104,-0.4233110937212886,0.4233110937212886,0.4425843,346
536,-1.0878987,-1.3903816,-0.4229470593429625,0.4229470593429625,0.5241805,347
1170,-0.6073146,-0.28850397,0.42224725085570436,0.42224725085570436,0.58908457,348
113,0.40504068,0.19785659,-0.4216224938241557,0.4216224938241557,0.24613905,349
782,0.014266818,0.1725642,0.4213581273189908,0.4213581273189908,0.14135323,350
812,-0.95791674,-1.244046,-0.4213576832095778,0.4213576832095778,0.4704068,351
1172,-1.1991646,-0.5703796,0.4211873964793252,0.4211873964793252,2.212226,352
11,0.05915408,0.21067576,0.42113240530383245,0.42113240530383245,0.13572222,353
676,0.5637125,0.34216642,-0.4210886089109526,0.4210886089109526,0.28385425,354
1210,-0.5041559,-0.80536264,-0.42106941885926147,0.42106941885926147,0.51747453,355
333,-0.79750365,-0.5607302,0.4187186131993343,0.4187186131993343,0.33184874,356
872,0.011268212,0.12111034,0.418478656047556,0.418478656047556,0.06992,357
476,-1.4524993,-1.1395104,0.41767638834410475,0.41767638834410475,0.57123953,358
1091,0.09891517,0.19439343,0.4162054946556621,0.4162054946556621,0.054194164,359
324,0.27126458,0.19356829,-0.41594983777588346,0.41594983777588346,0.03669105,360
943,0.044057462,0.17547578,0.41581506448045674,0.41581506448045674,0.10336587,361
1077,-0.87022096,-0.2643385,0.4143119587884413,0.4143119587884413,2.2016342,362
685,0.14878368,0.007568085,-0.41420907246811206,0.41420907246811206,0.117989585,363
607,-0.08195757,-0.4124367,-0.41349654279560605,0.41349654279560605,0.65527683,364
587,0.13218613,-0.1604557,-0.4124167322932639,0.4124167322932639,0.5128574,365
23,-0.516568,-0.2531228,0.4118234791284363,0.4118234791284363,0.4240153,366
741,-0.16675614,-0.38791475,-0.41144785007907353,0.41144785007907353,0.2953847,367
740,0.9822786,0.3088638,-0.4113770402798136,0.4113770402798136,2.6302469,368
45,0.0771534,0.20775795,0.41126495760887716,0.41126495760887716,0.10093943,369
581,-0.16436134,-0.46644968,-0.4110238802563791,0.4110238802563791,0.5507183,370
806,-0.23393106,-0.55702883,-0.41059479270166993,0.41059479270166993,0.63669425,371
1054,-0.63341844,-0.31349015,0.40965724999783165,0.40965724999783165,0.638532,372
198,0.110591985,-0.2745237,-0.4094441671094681,0.4094441671094681,0.8731936,373
228,0.5739504,0.15892895,-0.40931730100214037,0.40931730100214037,1.0133302,374
538,-0.65360206,-0.41159198,0.4084136201858,0.4084136201858,0.36299112,375
179,0.514274,0.33176833,-0.4082839517771061,0.4082839517771061,0.20664255,376
995,0.14336368,-0.23568599,-0.40788036772981257,0.40788036772981257,0.8950637,377
400,-0.62377864,-0.357119,0.4071892575938312,0.4071892575938312,0.44153622,378
184,-0.62397283,-0.8605858,-0.4069341419217194,0.4069341419217194,0.3485642,379
467,0.34404182,0.2349652,-0.40446822173228514,0.40446822173228514,0.074323416,380
156,0.18608378,-0.121647894,-0.4044637228239793,0.4044637228239793,0.58954394,381
1167,0.39221147,0.21097404,-0.4042892187671835,0.4042892187671835,0.19866407,382
973,0.3034114,0.15756828,-0.40281642344100455,0.40281642344100455,0.12991567,383
1122,0.17407732,0.2658795,0.40276217300514744,0.40276217300514744,0.05304051,384
452,0.15557589,0.28834158,0.40094864995066015,0.40094864995066015,0.11062178,385
63,0.09002514,0.1763524,0.3997674063167769,0.3997674063167769,0.04770717,386
446,0.26324096,0.430218,0.39953683362283504,0.39953683362283504,0.1758982,387
746,0.22314964,0.11983221,-0.39929209558385187,0.39929209558385187,0.06977431,388
225,-0.90483063,-0.71778786,0.3986339409157448,0.3986339409157448,0.22483496,389
1155,0.14816566,0.28385243,0.3983619935860124,0.3983619935860124,0.12106259,390
110,0.17184119,0.020489063,-0.3980637662452455,0.3980637662452455,0.15071562,391
1084,-0.20240055,-0.73787963,-0.3976325594185722,0.3976325594185722,1.7566292,392
914,0.0070325783,0.7373551,0.39676379688237706,0.39676379688237706,3.281019,393
1012,0.2882692,0.18276322,-0.39619412954165495,0.39619412954165495,0.07231794,394
369,0.48931357,0.30244988,-0.3955664333033759,0.3955664333033759,0.22789702,395
463,0.32954216,0.14529908,-0.39530715451823245,0.39530715451823245,0.21540853,396
678,-0.21772623,-0.5697975,-0.39495006628695195,0.39495006628695195,0.82956463,397
649,0.36457947,0.17571276,-0.3949272260810206,0.3949272260810206,0.23605043,398
795,-0.27305973,-0.10346258,0.39357868482316904,0.39357868482316904,0.1882171,399
306,-0.99553406,-0.6728788,0.3933681959643952,0.3933681959643952,0.7037928,400
981,-0.8214674,-0.9863201,-0.3927948321707318,0.3927948321707318,0.18210728,401
353,0.8111825,0.21224937,-0.3923676867106442,0.3923676867106442,2.370445,402
28,-0.010121016,0.20853898,0.39161710880052847,0.39161710880052847,0.3124859,403
967,0.12881693,0.24552213,0.39057037909065706,0.39057037909065706,0.08980012,404
669,-0.0023593234,0.13552931,0.3885233602563869,0.3885233602563869,0.12904035,405
