step,train_loss,val_loss,train_accuracy,val_accuracy,learning_rate
156,0.01412854776320829,0.09527693341824307,1.0,0.962775,0.1
157,0.01401574467009668,0.09550295218300127,1.0,0.962775,0.1
158,0.01392332996591638,0.09541682435723871,1.0,0.962775,0.1
159,0.01379020086135478,0.09538616661509025,1.0,0.962775,0.1
160,0.01367889097116891,0.09529770509282334,1.0,0.962775,0.1
161,0.01356567506205916,0.0950657964038526,1.0,0.962775,0.1
162,0.01343885392829389,0.09478562537105222,1.0,0.962775,0.1
163,0.01332093653022373,0.09477467993486126,1.0,0.962775,0.1
164,0.01321397535331765,0.09452356814227963,1.0,0.962775,0.1
165,0.01310912953694588,0.09414392339469858,1.0,0.962775,0.1
166,0.01300792696746298,0.09392860876378768,1.0,0.962775,0.1
167,0.01293181739090499,0.09385652016964934,1.0,0.962775,0.1
168,0.01284935114359348,0.09366059639111159,1.0,0.962775,0.1
169,0.01275158242938965,0.09345013348891118,1.0,0.962775,0.1
170,0.01265739465611152,0.09332586092667271,1.0,0.962775,0.1
171,0.01255964152535539,0.09357286785041159,1.0,0.962775,0.1
172,0.01248645202106069,0.09336624517152922,1.0,0.962775,0.1
173,0.01237996701057382,0.09330442988509874,1.0,0.962775,0.1
174,0.01230141528548294,0.09292674745766719,1.0,0.962775,0.1
175,0.01224331814540881,0.09265600774759349,1.0,0.962775,0.1
176,0.0121680031321694,0.0926273742331519,1.0,0.962775,0.1
177,0.01209639274413477,0.09251904509671864,1.0,0.962775,0.1
178,0.01201283408666547,0.09245117290044705,1.0,0.962775,0.1
179,0.01193064287142103,0.0927302376380479,1.0,0.962775,0.1
180,0.01184994759819902,0.09237216215027393,1.0,0.962775,0.1
181,0.01177959031033287,0.09264129805383658,1.0,0.962775,0.1
182,0.01173675105540006,0.09220984209784273,1.0,0.962775,0.1
183,0.01165801462689281,0.09214079924565187,1.0,0.960759,0.1
184,0.01157061065033602,0.09191365318872126,1.0,0.962775,0.1
185,0.01149181440661134,0.09196343563207517,1.0,0.962775,0.1
186,0.01142500199072075,0.0920708041031494,1.0,0.964171,0.1
187,0.01134839013738756,0.09194504070012537,1.0,0.964171,0.1
188,0.01126389759858188,0.0923795833466879,1.0,0.962155,0.1
189,0.0111828015093694,0.09241834526444345,1.0,0.962155,0.1
190,0.01111718997127733,0.09229762670273774,1.0,0.962155,0.1
191,0.01102857444812034,0.09241708096302355,1.0,0.960759,0.1
192,0.01096053704987584,0.09215238595296565,1.0,0.960759,0.1
193,0.01087941392973842,0.0923094594948185,1.0,0.960759,0.1
194,0.01080094732273709,0.0925176402789196,1.0,0.962155,0.1
195,0.01072847072137388,0.0922191158179906,1.0,0.962155,0.1
196,0.01066033803854965,0.0919481109372025,1.0,0.962155,0.1
